ClientID;CODE_GENDER;FLAG_OWN_CAR;FLAG_OWN_REALTY;CNT_CHILDREN;AMT_INCOME_TOTAL;AMT_ANNUITY;AMT_GOODS_PRICE;NAME_EDUCATION_TYPE;NAME_FAMILY_STATUS;NAME_HOUSING_TYPE;DAYS_BIRTH;DAYS_EMPLOYED;OCCUPATION_TYPE;CREDIT_ACTIVE;DAYS_CREDIT;AMT_CREDIT_SUM;AMT_CREDIT_SUM_OVERDUE;CREDIT_TYPE;CITY 
CID000001;M;Y;Y;1;247500.0;17869.5;292500.0;Higher education;Married;House / apartment;-12090;-1998;Desconocido;Closed;-1110;45000.0;0.0;Consumer credit; Ontario
CID000002;F;Y;Y;0;157500.0;16681.5;472500.0;Secondary / secondary special;Separated;House / apartment;-20192;365243;Desconocido;Closed;-166;85333.5;0.0;Consumer credit; Rancho Cucamonga
CID000003;F;Y;N;0;225000.0;52452.0;900000.0;Higher education;Married;House / apartment;-20635;365243;Desconocido;Closed;-1800;145116.0;0.0;Consumer credit; Inglewood
CID000004;M;Y;Y;1;90000.0;31653.0;900000.0;Secondary / secondary special;Married;House / apartment;-15237;-4723;Laborers;Closed;-779;42125.985;0.0;Consumer credit; Rancho Cucamonga
CID000005;F;N;Y;0;81000.0;12964.5;225000.0;Secondary / secondary special;Separated;House / apartment;-18744;-7109;Core staff;Closed;-589;450000.0;0.0;Consumer credit; Escondido
CID000006;F;N;Y;0;315000.0;32274.0;450000.0;Secondary / secondary special;Married;House / apartment;-11422;-1590;Laborers;Closed;-1256;111033.0;0.0;Consumer credit; Thousand Oaks
CID000007;F;N;N;0;148500.0;45000.0;900000.0;Higher education;Civil marriage;With parents;-9369;-270;Core staff;Active;-560;67500.0;0.0;Credit card; Elk Grove
CID000008;F;N;Y;0;157500.0;23944.5;814500.0;Secondary / secondary special;Civil marriage;House / apartment;-21151;365243;Desconocido;Active;-309;337500.0;0.0;Credit card; San Francisco
CID000009;F;Y;Y;0;180000.0;21438.0;409500.0;Secondary / secondary special;Married;House / apartment;-18847;365243;Desconocido;Active;-2184;34317.0;0.0;Consumer credit; West Covina
CID000010;F;N;N;1;108000.0;5485.5;45000.0;Higher education;Married;House / apartment;-19958;-6010;Managers;Closed;-1329;51559.29;0.0;Consumer credit; Victorville
CID000011;M;Y;Y;0;225000.0;22576.5;387000.0;Secondary / secondary special;Married;House / apartment;-14749;-1332;Drivers;Closed;-551;1427062.5;0.0;Consumer credit; Long Beach
CID000012;M;Y;Y;0;296100.0;35559.0;324000.0;Secondary / secondary special;Married;House / apartment;-16512;-6240;Drivers;Closed;-1685;23044.5;0.0;Consumer credit; Pittsburg
CID000013;M;N;Y;0;225000.0;24412.5;450000.0;Secondary / secondary special;Married;House / apartment;-12778;-4221;Drivers;Active;-202;18000.0;0.0;Credit card; Irvine
CID000014;F;N;Y;0;99000.0;14350.5;225000.0;Secondary / secondary special;Married;House / apartment;-24149;365243;Desconocido;Active;-172;58536.0;0.0;Consumer credit; Santa Rosa
CID000015;F;N;N;0;225000.0;53955.0;1417500.0;Incomplete higher;Married;House / apartment;-22677;-3588;Core staff;Closed;-434;22455.0;0.0;Consumer credit; Los Ángeles
CID000016;F;N;N;0;405000.0;60120.0;1575000.0;Higher education;Married;House / apartment;-10726;-1921;Desconocido;Closed;-755;4500.0;0.0;Consumer credit; Anaheim
CID000017;M;Y;N;2;112500.0;34258.5;720000.0;Secondary / secondary special;Married;House / apartment;-11603;-475;Low-skill Laborers;Closed;-2383;56659.5;0.0;Credit card; Whittier
CID000018;F;N;N;1;171000.0;24475.5;630000.0;Secondary / secondary special;Separated;House / apartment;-18110;-1404;Cooking staff;Closed;-1126;49455.0;0.0;Consumer credit; Victorville
CID000019;F;N;Y;1;270000.0;36774.0;675000.0;Higher education;Married;House / apartment;-21379;-5792;Accountants;Active;-869;45000.0;0.0;Credit card; Sunnyvale
CID000020;F;N;Y;0;193500.0;19516.5;553500.0;Secondary / secondary special;Married;House / apartment;-18640;-3148;Managers;Closed;-164;18000.0;0.0;Consumer credit; Visalia
CID000021;M;N;Y;0;202500.0;26316.0;900000.0;Secondary / secondary special;Married;House / apartment;-14647;-5450;Laborers;Closed;-613;450000.0;0.0;Consumer credit; Santa Maria
CID000022;F;N;Y;0;135000.0;26640.0;450000.0;Secondary / secondary special;Married;House / apartment;-12142;-668;Laborers;Closed;-379;211500.0;0.0;Consumer credit; Simi Valley
CID000023;M;Y;Y;0;189000.0;21888.0;450000.0;Secondary / secondary special;Married;House / apartment;-20674;-2068;Laborers;Active;-346;3600000.0;0.0;Consumer credit; Livermore
CID000024;M;Y;Y;0;256500.0;32337.0;679500.0;Higher education;Married;House / apartment;-17905;-2489;Drivers;Active;-807;135000.0;0.0;Credit card; Salinas
CID000025;F;N;Y;1;90000.0;9000.0;180000.0;Secondary / secondary special;Widow;House / apartment;-14179;365243;Desconocido;Active;-146;67617.0;0.0;Consumer credit; San Francisco
CID000026;F;N;N;0;103500.0;28827.0;315000.0;Higher education;Married;House / apartment;-10324;-827;High skill tech staff;Closed;-701;45000.0;0.0;Consumer credit; Norwalk
CID000027;F;N;Y;0;99000.0;20925.0;472500.0;Secondary / secondary special;Married;House / apartment;-18207;-11352;Managers;Closed;-806;225000.0;0.0;Consumer credit; Santa Ana
CID000028;F;Y;Y;1;135000.0;25078.5;463500.0;Lower secondary;Civil marriage;House / apartment;-13959;-2868;Core staff;Closed;-824;431280.0;0.0;Consumer credit; Lancaster
CID000029;F;Y;Y;0;90000.0;26316.0;684000.0;Secondary / secondary special;Married;House / apartment;-16390;-1735;Laborers;Closed;-1211;17235.0;0.0;Consumer credit; Burbank
CID000030;M;Y;Y;0;225000.0;7875.0;157500.0;Secondary / secondary special;Single / not married;House / apartment;-7862;-603;Managers;Closed;-1009;159030.0;0.0;Consumer credit; Sacramento 
CID000031;M;N;Y;0;225000.0;17077.5;135000.0;Higher education;Married;House / apartment;-14356;-2277;Drivers;Active;-404;90000.0;0.0;Credit card; Union City
CID000032;F;N;N;2;54000.0;14112.0;225000.0;Secondary / secondary special;Married;House / apartment;-9594;-366;Desconocido;Active;-178;274500.0;0.0;Consumer credit; Fontana
CID000033;F;N;Y;2;225000.0;55962.0;900000.0;Secondary / secondary special;Married;House / apartment;-16159;-212;Laborers;Closed;-1952;137232.0;0.0;Consumer credit; Stockton
CID000034;F;N;Y;1;112500.0;47911.5;454500.0;Secondary / secondary special;Married;Office apartment;-15283;-1805;Desconocido;Closed;-2861;72561.645;0.0;Consumer credit; Vallejo
CID000035;M;N;Y;0;135000.0;26248.5;481500.0;Secondary / secondary special;Married;House / apartment;-9460;-928;Desconocido;Closed;-1180;270000.0;0.0;Consumer credit; Santa Rosa
CID000036;F;N;N;0;337500.0;9018.0;135000.0;Secondary / secondary special;Single / not married;House / apartment;-10118;-3275;Desconocido;Closed;-2299;360000.0;0.0;Credit card; Livermore
CID000037;F;Y;Y;0;85500.0;16681.5;472500.0;Secondary / secondary special;Separated;House / apartment;-17898;365243;Desconocido;Active;-550;0.0;0.0;Credit card; Tracy
CID000038;F;N;N;0;85500.0;17167.5;225000.0;Higher education;Single / not married;House / apartment;-10760;-674;Desconocido;Active;-931;360000.0;0.0;Credit card; Alhambra
CID000039;F;N;N;0;70200.0;24916.5;585000.0;Secondary / secondary special;Married;Office apartment;-22979;365243;Desconocido;Closed;-2161;60750.0;0.0;Consumer credit; Upland
CID000040;F;N;Y;0;94500.0;23386.5;531000.0;Secondary / secondary special;Single / not married;House / apartment;-22978;365243;Desconocido;Closed;-2277;26005.5;0.0;Consumer credit; Temecula
CID000041;F;N;Y;0;247500.0;15880.5;225000.0;Higher education;Civil marriage;House / apartment;-24113;365243;Desconocido;Active;-257;93960.0;0.0;Consumer credit; Camarillo
CID000042;M;Y;Y;1;270000.0;9000.0;180000.0;Secondary / secondary special;Married;Municipal apartment;-10695;-1717;Laborers;Closed;-2676;184126.5;0.0;Consumer credit; Apple Valley
CID000043;F;N;Y;0;90000.0;23773.5;675000.0;Higher education;Married;House / apartment;-18400;-423;Cleaning staff;Active;-1369;751500.0;0.0;Consumer credit; San Leandro
CID000044;F;N;N;0;180000.0;5742.0;112500.0;Incomplete higher;Married;House / apartment;-13951;-6294;Desconocido;Closed;-941;900000.0;0.0;Consumer credit; Chino
CID000045;F;Y;N;0;270000.0;64516.5;679500.0;Secondary / secondary special;Married;House / apartment;-15019;-1970;Desconocido;Active;-262;760500.0;0.0;Consumer credit; Moreno Valley
CID000046;M;Y;Y;0;63000.0;13068.0;202500.0;Secondary / secondary special;Married;House / apartment;-24000;365243;Desconocido;Closed;-1203;209295.36;0.0;Consumer credit; Chico
CID000047;F;N;Y;0;130500.0;47803.5;1035000.0;Secondary / secondary special;Married;House / apartment;-21400;365243;Desconocido;Sold;-497;379867.05;0.0;Consumer credit; Hayward
CID000048;F;N;Y;3;495000.0;65997.0;900000.0;Higher education;Married;House / apartment;-13121;-1139;Managers;Closed;-988;16829.325;0.0;Consumer credit; Redwood City
CID000049;F;N;Y;1;99000.0;18153.0;454500.0;Secondary / secondary special;Married;House / apartment;-13360;-3252;Desconocido;Active;-609;1461375.0;0.0;Consumer credit; Citrus Heights
CID000050;M;Y;Y;0;216000.0;46350.0;1003500.0;Secondary / secondary special;Married;House / apartment;-19765;-4617;Laborers;Active;-216;42705.0;0.0;Consumer credit; Chino
CID000051;M;Y;Y;0;135000.0;16852.5;225000.0;Higher education;Civil marriage;With parents;-9485;-2047;Desconocido;Closed;-392;81855.0;0.0;Consumer credit; Turlock
CID000052;M;N;Y;0;220500.0;55444.5;895500.0;Secondary / secondary special;Single / not married;House / apartment;-11855;-1657;High skill tech staff;Active;-133;150660.0;0.0;Consumer credit; Fremont
CID000053;F;N;N;2;94500.0;17739.0;454500.0;Secondary / secondary special;Married;House / apartment;-11666;-916;Laborers;Closed;-1409;29646.0;0.0;Consumer credit; Sunnyvale
CID000054;M;N;Y;0;135000.0;34924.5;463500.0;Secondary / secondary special;Married;House / apartment;-23148;365243;Desconocido;Active;-218;1575000.0;0.0;Consumer credit; Redwood City
CID000055;F;N;N;0;135000.0;19084.5;675000.0;Secondary / secondary special;Married;Office apartment;-21486;365243;Desconocido;Active;-516;675000.0;0.0;Consumer credit; Lakewood
CID000056;M;Y;N;2;81000.0;17811.0;247500.0;Secondary / secondary special;Single / not married;House / apartment;-12090;-2318;Low-skill Laborers;Closed;-828;67455.0;0.0;Consumer credit; Visalia
CID000057;F;N;N;0;171000.0;14661.0;379012.5;Secondary / secondary special;Married;House / apartment;-23529;365243;Desconocido;Closed;-439;145903.5;0.0;Consumer credit; Fullerton
CID000058;F;Y;Y;0;135000.0;10125.0;202500.0;Higher education;Married;House / apartment;-12558;-1705;Desconocido;Active;-699;225000.0;0.0;Consumer credit; San Bernardino
CID000059;F;Y;Y;3;157500.0;33174.0;778500.0;Higher education;Married;House / apartment;-15577;-403;Core staff;Active;-1043;270000.0;0.0;Credit card; Lynwood
CID000060;F;N;Y;0;135000.0;17122.5;333000.0;Secondary / secondary special;Married;House / apartment;-23030;365243;Desconocido;Active;-48;441000.0;0.0;Credit card; Tracy
CID000061;M;Y;N;0;112500.0;34182.0;688500.0;Secondary / secondary special;Separated;House / apartment;-19546;-563;Security staff;Active;-509;720000.0;0.0;Consumer credit; Riverside
CID000062;F;N;Y;0;360000.0;44059.5;706500.0;Secondary / secondary special;Single / not married;House / apartment;-20461;365243;Desconocido;Closed;-1434;135000.0;0.0;Consumer credit; Clovis
CID000063;F;Y;Y;3;112500.0;19867.5;675000.0;Secondary / secondary special;Married;House / apartment;-11854;-2182;Core staff;Active;-1247;175500.0;0.0;Consumer credit; Downey
CID000064;F;N;Y;0;81000.0;13396.5;180000.0;Secondary / secondary special;Civil marriage;House / apartment;-13724;-666;Sales staff;Active;-672;0.0;0.0;Credit card; Buena Park
CID000065;F;N;N;0;85500.0;11610.0;99000.0;Secondary / secondary special;Civil marriage;House / apartment;-12986;-1859;Cleaning staff;Active;-176;328009.5;0.0;Consumer credit; Carlsbad
CID000066;M;N;Y;0;112500.0;34074.0;765000.0;Lower secondary;Married;House / apartment;-23281;365243;Desconocido;Active;-506;477000.0;0.0;Consumer credit; Sunnyvale
CID000067;M;N;Y;0;180000.0;36459.0;675000.0;Secondary / secondary special;Single / not married;House / apartment;-11843;-567;Laborers;Active;-450;1882192.5;0.0;Car loan; Daly City
CID000068;F;N;Y;0;477000.0;30730.5;463500.0;Higher education;Married;House / apartment;-10345;-2241;Managers;Closed;-2602;184356.0;0.0;Consumer credit; Inglewood
CID000069;M;N;Y;1;139500.0;27558.0;225000.0;Secondary / secondary special;Married;House / apartment;-9920;-448;Drivers;Active;-196;615789.0;0.0;Consumer credit; Concord
CID000070;F;N;N;1;157500.0;26109.0;540000.0;Secondary / secondary special;Married;House / apartment;-10348;-1146;Core staff;Active;-1094;588600.0;0.0;Consumer credit; Salinas
CID000071;M;N;Y;0;211500.0;9000.0;180000.0;Higher education;Single / not married;House / apartment;-10807;-1469;Security staff;Active;-765;90000.0;0.0;Credit card; Moreno Valley
CID000072;F;N;Y;2;450000.0;23863.5;216000.0;Higher education;Married;House / apartment;-9818;-2453;High skill tech staff;Closed;-2290;103297.5;0.0;Consumer credit; San Bernardino
